role_id,role_title,category,required_skills,recommended_tools,description,popularity_score
1,Data Scientist,Data & AI,"Python, SQL, Machine Learning, Data Analysis, Statistics, Pandas, NumPy, Scikit-Learn","Jupyter, Pandas, TensorFlow, R","Build statistical models and extract insights from complex structured and unstructured datasets.",95
2,DevOps Engineer,Infrastructure & DevOps,"AWS, Docker, Kubernetes, CI/CD, Linux, Shell Scripting, Terraform, Git, Automation","Jenkins, GitLab CI, Ansible, Terraform","Automate deployment pipelines and manage cloud infrastructure scalability and reliability.",92
3,Backend Developer,Software Engineering,"Java, Python, SQL, REST APIs, PostgreSQL, Node.js, Spring Boot, Microservices, Redis","Postman, Docker, Git, IntelliJ","Design and implement server-side business logic, databases, and microservices architecture.",90
4,Cloud Architect,Infrastructure & DevOps,"Python, Cloud Computing, Automation, AWS, Azure, Terraform, Networking, System Design, Security","AWS Console, Terraform, Kubernetes, CloudFormation","Design enterprise-wide cloud infrastructure solutions and security frameworks.",88
5,Machine Learning Engineer,Data & AI,"Python, PyTorch, TensorFlow, Machine Learning, Deep Learning, MLOps, SQL, Data Engineering","Weights & Biases, MLflow, Docker, CUDA","Deploy scalable AI and deep learning models into high-performance production systems.",94
6,Frontend Developer,Software Engineering,"JavaScript, TypeScript, React, HTML, CSS, Next.js, Redux, Web Design, Tailwind CSS","VS Code, Webpack, Figma, Vite","Craft responsive, dynamic user interfaces and engaging web experiences.",91
7,Full Stack Developer,Software Engineering,"JavaScript, Node.js, React, Python, SQL, MongoDB, REST APIs, HTML, CSS, Git","VS Code, Docker, Postman, GitHub","Develop both front-end client interfaces and back-end server infrastructure.",96
8,Cybersecurity Analyst,Security,"Linux, Networking, Security, Penetration Testing, Python, SIEM, Cryptography, Risk Assessment","Wireshark, Metasploit, Burp Suite, Splunk","Protect systems, networks, and data from cyber threats and vulnerability breaches.",87
9,Data Engineer,Data & AI,"Python, SQL, Spark, Hadoop, Data Engineering, ETL, Airflow, Snowflake, Data Warehousing","Apache Spark, Airflow, dbt, Snowflake","Build scalable data pipelines, data warehouses, and big data architecture.",89
10,Site Reliability Engineer (SRE),Infrastructure & DevOps,"Linux, Python, Kubernetes, Prometheus, Grafana, CI/CD, Terraform, Automation, Monitoring","Prometheus, Grafana, Kubernetes, PagerDuty","Ensure high availability, resilience, and operational health of production systems.",85
11,Mobile Developer (iOS/Android),Software Engineering,"Swift, Kotlin, Mobile Development, React Native, Flutter, REST APIs, Git, UI Design","Xcode, Android Studio, Flutter SDK, Firebase","Build mobile applications for iOS and Android platforms with smooth UX.",86
12,Systems Administrator,Infrastructure & DevOps,"Linux, Windows Server, Networking, Bash, Automation, System Administration, Security, Active Directory","PowerShell, Bash, Nagios, Ansible","Manage enterprise server environments, system health, user access, and network infrastructure.",82
13,AI Research Scientist,Data & AI,"Python, PyTorch, Deep Learning, Mathematics, Algorithms, Computer Vision, NLP, Machine Learning","PyTorch, Jupyter, CUDA, LaTeX","Conduct cutting-edge research in deep learning, neural networks, and generative AI.",90
14,Database Administrator (DBA),Data & AI,"SQL, PostgreSQL, MySQL, Oracle, Database Administration, Performance Tuning, Backup & Recovery, Linux","pgAdmin, MySQL Workbench, Oracle Manager","Manage database performance, backup integrity, security policies, and high-availability clusters.",80
15,UI/UX Engineer,Software Engineering,"Figma, Web Design, HTML, CSS, JavaScript, User Research, Prototyping, Wireframing","Figma, Adobe XD, Storybook, Tailwind","Design intuitive user journeys, wireframes, and design systems for web and mobile apps.",84
16,Security Engineer,Security,"Python, Security, Cryptography, Cloud Security, Network Security, Penetration Testing, Linux","Burp Suite, Nmap, Vault, AWS GuardDuty","Architect robust security protocols, identity management, and application defense layers.",88
17,QA Automation Engineer,Software Engineering,"Python, Java, Selenium, Cypress, Test Automation, CI/CD, Git, REST APIs","Selenium, Cypress, Postman, Jenkins","Develop automated test suites and continuous integration checks to ensure software quality.",81
18,Embedded Systems Engineer,Software Engineering,"C, C++, Microcontrollers, RTOS, Embedded Systems, Hardware, Linux, IoT","PlatformIO, Keil, STM32CubeMX, Arduino","Program firmware and hardware-level software for IoT devices and microcontrollers.",79
19,NLP Engineer,Data & AI,"Python, NLP, PyTorch, Transformers, Hugging Face, Machine Learning, Text Processing, SpaCy","Hugging Face, PyTorch, NLTK, SpaCy","Develop natural language processing algorithms, LLM integrations, and sentiment analysis tools.",89
20,Computer Vision Engineer,Data & AI,"Python, OpenCV, PyTorch, Computer Vision, Deep Learning, Image Processing, C++, CUDA","OpenCV, PyTorch, YOLO, TensorRT","Engine computer vision models for image classification, object detection, and video analysis.",88
21,MLOps Engineer,Data & AI,"Python, Docker, Kubernetes, MLflow, MLOps, CI/CD, Terraform, AWS, Machine Learning","MLflow, Kubeflow, Docker, AWS SageMaker","Bridge the gap between ML research models and continuous production deployment pipelines.",91
22,Blockchain Developer,Software Engineering,"Solidity, Ethereum, Smart Contracts, Web3, JavaScript, Rust, Cryptography, Blockchain","Hardhat, Truffle, Metamask, Remix IDE","Develop decentralized applications (dApps) and secure smart contracts on blockchain networks.",83
23,Solutions Architect,Infrastructure & DevOps,"Cloud Computing, System Design, AWS, Enterprise Architecture, Microservices, Security, Python","Lucidchart, AWS Console, Draw.io","Design end-to-end technical blueprints and system architectures for business enterprises.",87
24,Game Developer,Software Engineering,"C++, C#, Unity, Unreal Engine, Game Physics, 3D Modeling, Graphics Programming, Shader Programming","Unity, Unreal Engine, Blender, Visual Studio","Build 2D and 3D video games, gameplay logic, physics engines, and interactive graphics.",86
25,Network Security Engineer,Security,"Networking, Firewalls, Cisco, Security, VPN, Routing & Switching, Linux, Wireshark","Cisco Packet Tracer, Wireshark, pfSense","Maintain secure corporate networks, firewalls, threat defense systems, and VPN connections.",83
